iter	Passed	Remaining
401	12984	19315
402	13015	19280
403	13039	19236
404	13066	19196
405	13092	19155
406	13120	19117
407	13143	19071
408	13175	19038
409	13198	18993
410	13222	18948
411	13255	18918
412	13282	18878
413	13306	18835
414	13335	18798
415	13362	18758
416	13396	18730
417	13423	18690
418	13448	18648
419	13482	18618
420	13530	18608
421	13566	18581
422	13586	18533
423	13613	18493
424	13647	18464
425	13679	18432
426	13707	18394
427	13742	18365
428	13763	18319
429	13794	18285
430	13820	18245
431	13862	18226
432	13920	18228
433	13948	18190
434	13973	18148
435	14026	18143
436	14060	18114
437	14091	18081
438	14116	18039
439	14144	18001
440	14169	17961
441	14201	17928
442	14228	17890
443	14253	17848
444	14280	17810
445	14301	17764
446	14334	17733
447	14358	17691
448	14388	17657
449	14415	17619
450	14444	17582
451	14473	17547
452	14499	17508
453	14531	17475
454	14560	17440
455	14588	17403
456	14616	17366
457	14643	17329
458	14672	17294
459	14700	17257
460	14727	17219
461	14749	17176
462	14771	17131
463	14807	17105
464	14842	17076
465	14876	17047
466	14907	17013
467	14928	16969
468	14954	16931
469	14985	16898
470	15005	16853
471	15031	16814
472	15057	16776
473	15091	16746
474	15125	16717
475	15155	16683
476	15186	16651
477	15218	16619
478	15244	16581
479	15277	16550
480	15308	16517
481	15339	16485
482	15371	16453
483	15400	16418
484	15427	16381
485	15447	16337
486	15474	16300
487	15503	16266
488	15538	16237
489	15573	16209
490	15598	16170
491	15626	16135
492	15651	16095
493	15679	16060
494	15711	16028
495	15743	15997
496	15777	15967
497	15811	15938
498	15838	15901
499	15873	15873
500	15923	15860
501	15979	15851
502	16012	15821
503	16045	15790
504	16077	15758
505	16101	15719
506	16128	15682
507	16156	15647
508	16185	15612
509	16209	15573
510	16233	15534
511	16262	15500
512	16286	15461
513	16319	15430
514	16348	15396
515	16369	15354
516	16393	15315
517	16417	15276
518	16445	15241
519	16472	15205
520	16503	15173
521	16535	15141
522	16567	15110
523	16594	15074
524	16627	15043
525	16660	15013
526	16690	14980
527	16711	14939
528	16734	14900
529	16767	14869
530	16801	14840
531	16828	14804
532	16863	14775
533	16895	14743
534	16925	14710
535	16952	14675
536	16985	14644
537	17016	14612
538	17040	14574
539	17071	14542
540	17100	14508
541	17131	14476
542	17162	14444
543	17193	14412
544	17223	14379
545	17252	14345
546	17275	14306
547	17303	14272
548	17325	14233
549	17353	14198
550	17378	14161
551	17410	14130
552	17443	14100
553	17472	14066
554	17500	14031
555	17526	13996
556	17554	13961
557	17595	13937
558	17635	13912
559	17669	13883
560	17699	13850
561	17732	13819
562	17766	13790
563	17801	13761
564	17833	13730
565	17869	13701
566	17900	13670
567	17928	13636
568	17956	13601
569	17976	13560
570	18004	13526
571	18032	13492
572	18060	13458
573	18086	13423
574	18116	13390
575	18146	13357
576	18177	13325
577	18200	13288
578	18224	13251
579	18256	13219
580	18279	13182
581	18302	13145
582	18327	13109
583	18363	13081
584	18399	13052
585	18430	13020
586	18458	12987
587	18492	12957
588	18523	12925
589	18548	12889
590	18572	12852
591	18598	12818
592	18626	12784
593	18659	12753
594	18689	12721
595	18718	12688
596	18748	12656
597	18778	12623
598	18804	12588
599	18832	12554
600	18855	12517
601	18880	12482
602	18910	12450
603	18947	12422
604	18978	12391
605	19011	12360
606	19037	12325
607	19059	12288
608	19085	12253
609	19115	12221
610	19150	12192
611	19186	12164
612	19226	12138
613	19262	12109
614	19323	12097
615	19367	12073
616	19401	12043
617	19433	12012
618	19465	11981
619	19495	11948
620	19527	11917
621	19553	11883
622	19578	11847
623	19615	11819
624	19646	11788
625	19697	11768
626	19728	11736
627	19755	11702
628	19779	11666
629	19812	11635
630	19845	11605
631	19873	11572
632	19905	11540
633	19936	11509
634	19962	11474
635	20000	11446
636	20027	11412
637	20057	11380
638	20089	11349
639	20119	11317
640	20145	11282
641	20173	11249
642	20205	11218
643	20246	11192
644	20294	11169
645	20343	11148
646	20373	11115
647	20396	11079
648	20423	11045
649	20456	11014
650	20481	10979
651	20507	10945
652	20534	10912
653	20565	10880
654	20599	10850
655	20634	10820
656	20665	10788
657	20694	10756
658	20728	10726
659	20759	10694
660	20783	10658
661	20818	10629
662	20844	10595
663	20865	10558
664	20898	10527
665	20925	10494
666	20957	10462
667	20986	10430
668	21022	10401
669	21053	10369
670	21080	10336
671	21109	10303
672	21138	10270
673	21168	10238
674	21194	10204
675	21242	10181
676	21283	10154
677	21322	10126
678	21353	10094
679	21378	10060
680	21407	10028
681	21441	9997
682	21467	9963
683	21497	9931
684	21527	9899
685	21555	9866
686	21586	9834
687	21610	9800
688	21654	9774
689	21687	9743
690	21715	9710
691	21739	9676
692	21769	9644
693	21797	9611
694	21823	9577
695	21864	9550
696	21895	9518
697	21924	9485
698	21948	9451
699	21979	9419
700	22008	9387
701	22039	9355
702	22068	9323
703	22098	9291
704	22128	9259
705	22158	9227
706	22181	9192
707	22213	9161
708	22240	9128
709	22265	9094
710	22297	9063
711	22330	9032
712	22358	9000
713	22385	8966
714	22415	8934
715	22445	8902
716	22477	8871
717	22510	8841
718	22538	8808
719	22576	8779
720	22612	8750
721	22644	8718
722	22671	8686
723	22703	8655
724	22737	8624
725	22769	8593
726	22800	8561
727	22832	8530
728	22865	8499
729	22893	8467
730	22925	8436
731	22960	8406
732	22997	8377
733	23029	8345
734	23061	8314
735	23115	8291
736	23155	8263
737	23194	8234
738	23224	8202
739	23259	8172
740	23291	8140
741	23316	8107
742	23351	8077
743	23385	8046
744	23414	8014
745	23440	7981
746	23468	7948
747	23497	7916
748	23524	7883
749	23555	7851
750	23590	7821
751	23622	7790
752	23651	7758
753	23672	7723
754	23700	7690
755	23725	7657
756	23758	7626
757	23788	7594
758	23820	7563
759	23865	7536
760	23895	7504
761	23927	7473
762	23957	7441
763	23986	7409
764	24014	7377
765	24045	7345
766	24082	7315
767	24111	7283
768	24142	7252
769	24165	7218
770	24190	7185
771	24221	7153
772	24251	7121
773	24276	7088
774	24307	7057
775	24335	7024
776	24369	6994
777	24401	6963
778	24430	6930
779	24456	6897
780	24485	6865
781	24518	6835
782	24539	6800
783	24564	6767
784	24595	6736
785	24629	6705
786	24658	6673
787	24681	6640
788	24712	6608
789	24738	6576
790	24759	6542
791	24813	6516
792	24843	6484
793	24868	6452
794	24893	6418
795	24918	6386
796	24942	6353
797	24969	6320
798	24993	6287
799	25022	6255
800	25051	6223
801	25083	6192
802	25118	6162
803	25149	6131
804	25178	6099
805	25206	6067
806	25236	6035
807	25267	6004
808	25300	5973
809	25325	5940
810	25360	5910
811	25385	5877
812	25415	5845
813	25440	5813
814	25468	5781
815	25505	5751
816	25534	5719
817	25559	5686
818	25591	5655
819	25613	5622
820	25646	5591
821	25678	5560
822	25704	5528
823	25742	5498
824	25778	5468
825	25814	5437
826	25853	5408
827	25888	5377
828	25921	5346
829	25949	5314
830	25980	5283
831	26005	5251
832	26037	5219
833	26062	5187
834	26091	5155
835	26126	5125
836	26156	5093
837	26186	5062
838	26212	5029
839	26243	4998
840	26273	4967
841	26309	4936
842	26334	4904
843	26366	4873
844	26395	4841
845	26429	4811
846	26463	4780
847	26500	4750
848	26528	4718
849	26555	4686
850	26577	4653
851	26599	4620
852	26620	4587
853	26646	4555
854	26677	4524
855	26707	4492
856	26757	4464
857	26790	4433
858	26817	4401
859	26842	4369
860	26877	4339
861	26906	4307
862	26927	4274
863	26967	4244
864	27027	4218
865	27063	4187
866	27095	4156
867	27132	4126
868	27174	4096
869	27210	4065
870	27247	4035
871	27277	4003
872	27302	3971
873	27332	3940
874	27361	3908
875	27394	3877
876	27431	3847
877	27483	3818
878	27518	3788
879	27552	3757
880	27577	3724
881	27613	3694
882	27647	3663
883	27680	3632
884	27709	3600
885	27742	3569
886	27767	3537
887	27796	3505
888	27851	3477
889	27884	3446
890	27915	3415
891	27948	3383
892	27976	3352
893	28008	3320
894	28035	3289
895	28071	3258
896	28113	3228
897	28151	3197
898	28180	3165
899	28221	3135
900	28247	3103
901	28274	3071
902	28295	3039
903	28322	3007
904	28350	2975
905	28375	2944
906	28404	2912
907	28440	2881
908	28469	2850
909	28490	2817
910	28522	2786
911	28551	2754
912	28575	2722
913	28599	2690
914	28631	2659
915	28666	2628
916	28708	2598
917	28742	2567
918	28772	2536
919	28810	2505
920	28854	2474
921	28884	2443
922	28918	2412
923	28958	2381
924	28999	2351
925	29084	2324
926	29129	2293
927	29171	2263
928	29315	2240
929	29373	2210
930	29405	2179
931	29452	2148
932	29512	2119
933	29543	2087
934	29573	2055
935	29609	2024
936	29656	1993
937	29691	1962
938	29734	1931
939	29768	1900
940	29818	1869
941	29862	1838
942	29894	1806
943	29942	1776
944	29990	1745
945	30026	1713
946	30061	1682
947	30085	1650
948	30120	1618
949	30153	1587
950	30185	1555
951	30242	1524
952	30293	1493
953	30406	1466
954	30463	1435
955	30494	1403
956	30611	1375
957	30648	1343
958	30751	1314
959	30884	1286
960	30937	1255
961	31090	1228
962	31227	1199
963	31341	1170
964	31390	1138
965	31452	1107
966	31501	1075
967	31538	1042
968	31622	1011
969	31722	981
970	31760	948
971	31851	917
972	31929	886
973	31987	853
974	32033	821
975	32096	789
976	32160	757
977	32262	725
978	32326	693
979	32515	663
980	32597	631
981	32663	598
982	32700	565
983	32736	532
984	32766	498
985	32804	465
986	32842	432
987	32928	399
988	32959	366
989	33014	333
990	33055	300
991	33089	266
992	33115	233
993	33165	200
994	33201	166
995	33237	133
996	33275	100
997	33304	66
998	33339	33
999	33401	0
