iter	Logloss
0	0.6811745733
1	0.6738093372
2	0.6659921279
3	0.6573224929
4	0.649182879
5	0.6420488235
6	0.6372515799
7	0.6322697517
8	0.6261147654
9	0.6219299607
10	0.616727727
11	0.6119645819
12	0.609241723
13	0.6061359492
14	0.6033116727
15	0.5996431192
16	0.5974916245
17	0.5948467051
18	0.5933223033
19	0.5915073973
20	0.5900059823
21	0.5885872669
22	0.5864399299
23	0.5853558815
24	0.5843291458
25	0.5833094
26	0.58182156
27	0.5806977577
28	0.5800112007
29	0.5786258986
30	0.5778952312
31	0.5768405836
32	0.5761170634
33	0.5753568084
34	0.5741209905
35	0.5735574257
36	0.5726495264
37	0.5721534734
38	0.571730089
39	0.5709082882
40	0.5705312873
41	0.5701626015
42	0.569562695
43	0.5689403356
44	0.5685908384
45	0.5680049171
46	0.567445384
47	0.56671056
48	0.5662798003
49	0.5658487114
50	0.5655511452
51	0.5652812601
52	0.5649258964
53	0.5645870912
54	0.5643102478
55	0.563947937
56	0.5637175015
57	0.5632452428
58	0.5629374566
59	0.5627737872
60	0.5625210813
61	0.5622512546
62	0.561863853
63	0.5614677183
64	0.561253236
65	0.5609605389
66	0.5607610207
67	0.5605003114
68	0.5602996667
69	0.5599361174
70	0.5597802755
71	0.5594292787
72	0.5592695175
73	0.5590634643
74	0.55884898
75	0.5585968662
76	0.5584600851
77	0.5583204345
78	0.5581401491
79	0.5578979017
80	0.5575357057
81	0.5572978684
82	0.5570797923
83	0.5568731729
84	0.5567746327
85	0.5566010053
86	0.5563647205
87	0.5561682161
88	0.5559778503
89	0.5556371202
90	0.5554596288
91	0.5553309292
92	0.5551423092
93	0.5549409982
94	0.5548063697
95	0.5546068942
96	0.5544206749
97	0.5543010022
98	0.554048204
99	0.5537551242
100	0.5536394436
101	0.5534897918
102	0.5533842371
103	0.5531859378
104	0.5530354597
105	0.5528684606
106	0.5526867487
107	0.5525551027
108	0.5523070079
109	0.5520835578
110	0.5518079182
111	0.5516174051
112	0.5515072907
113	0.551391394
114	0.5511703535
115	0.5509506396
116	0.5508620178
117	0.550654616
118	0.5505337854
119	0.5503573946
120	0.5502100707
121	0.5500396002
122	0.5498550815
123	0.5496467812
124	0.549563587
125	0.5494041138
126	0.5492517263
127	0.5491552884
128	0.5490238252
129	0.5488510738
130	0.5487446764
131	0.5486156965
132	0.5483939732
133	0.5482542418
134	0.5480776848
135	0.5479093091
136	0.547761276
137	0.5476720858
138	0.5474840477
139	0.5473223358
140	0.5471627403
141	0.5470518949
142	0.54683643
143	0.5467065894
144	0.5465599662
145	0.5464078815
146	0.5462254502
147	0.5461036756
148	0.5459651542
149	0.5458101609
150	0.5456635569
151	0.5455310936
152	0.5453986076
153	0.5452291312
154	0.5451106484
155	0.5450442044
156	0.5449394846
157	0.5448508123
158	0.5446807181
159	0.5444742493
160	0.5442994199
161	0.5441747734
162	0.5439875452
163	0.543819466
164	0.5436668973
165	0.5435014861
166	0.5433773593
167	0.5432390473
168	0.5430974023
169	0.5429496412
170	0.5427934145
171	0.5426483961
172	0.542519768
173	0.5423409744
174	0.5422105548
175	0.5420372331
176	0.5419239045
177	0.5418019849
178	0.541620839
179	0.5414792313
180	0.5413335537
181	0.541200202
182	0.5410987502
